isbn,bookid,bookname,author,publish,releaseDate
387,B_1954_000358,在保加利亚共产党第六次代表大会上关于党中央工作的总结报告,契尔文科夫　著,世界知识社,-481363200000
337,B_1954_000362,匈牙利人民民主的道路,拉科西　著,世界知识社,-504950400000
351,B_1954_000367,保加利亚农业生产合作社的任务,契尔文科夫　著,世界知识社,-491904000000
1826,B_1955_000067,小资产阶级·小资产阶级政治经济学,,人民出版社,-455097600000
1685,B_1955_000071,我们的意见分歧,普列汉诺夫　著,人民出版社,-465638400000
1712,B_1955_000157,社会主义计划史纲要,[苏]葛拉德科夫　著,人民出版社,-473414400000
1776,B_1955_000178,苏联共产党中央直属高级党校新闻班讲义汇编（第二集）,,人民出版社,-455097600000
1821,B_1955_000238,什么是帝国主义,[苏]阿尔祖马年　著,人民出版社,-457776000000
1744,B_1955_000260,苏联工业中劳动生产率的提高和先进经验的推行,[苏]鲁米扬采夫　著　,人民出版社,-470736000000
383,B_1955_000282,印度尼西亚共产党第五次全国代表大会文件汇编,世界知识社　编辑,世界知识社,-473414400000
410,B_1955_000288,争取和保障奥地利独立的道路（奥地利共产党第十六次代表大会的政治报告及宣言）,,世界知识出版社,-470736000000
414,B_1955_000290,印度共产党第三次代表大会文件选辑,世界知识社　编辑,世界知识社,-468316800000
427,B_1955_000291,战后帝国主义殖民体系危机的加深,[苏]马斯林尼珂夫　主编,世界知识社,-457776000000
450,B_1955_000293,捷克斯洛伐克公审梵蒂冈间谍案,捷克斯洛伐克共和国文化部与司法部　编,世界知识社,-447148800000
1182,B_1955_000297,社会主义农业及其部门结构与配置,卡尔纳乌霍娃　著,生活·读书·新知三联书店,-444556800000
1801,B_1955_000307,“马克思列宁主义基础”课堂讨论提纲,苏联高等教育部社会科学讲授司　编,人民出版社,-452419200000
420,B_1955_000318,法国共产党第十三次代表大会文件选辑,,世界知识社,-465638400000
423,B_1955_000319,波兰统一工人党第二次代表大会文件选辑,世界知识社　编辑,世界知识社,-463046400000
436,B_1955_000321,捷克斯洛伐克共产党第十次代表大会文件选辑,世界知识社　编辑,世界知识社,-452419200000
416,B_1955_000331,罗马尼亚共产党在列宁斯大林旗帜下奋斗的三十年,乔治乌—德治　著,世界知识社,-468316800000
432,B_1955_000338,苏联代表在联合国发言选集（第一集）,世界知识社　编辑,世界知识社,-473414400000
446,B_1955_000340,苏联代表在联合国发言选集（第二集）,世界知识社　编辑,世界知识社,-447148800000
453,B_1955_000341,争取自由的联盟——英帝国范围内各国共产党与工人党第二次代表会议文件集,,世界知识社,-447148800000
1102,B_1955_000344,妇女与社会主义,[德]倍倍尔　著,生活·读书·新知三联书店,-470736000000
1746,B_1955_000357,苏联部长会议和苏共中央　关于扩大日用品生产及改进其质量的决议　关于扩大食品生产及改进其质量的决议,,人民出版社,-470736000000
1921,B_1956_000035,马克思主义的哲学唯物主义,[苏]沃斯特里科夫　著,人民出版社,-439200000000
1911,B_1956_000050,共产党是苏维埃社会的领导力量,[苏]斯列波夫　著,人民出版社,-441878400000
1967,B_1956_000065,剩余价值·利润,[苏]科尔干诺夫　著,人民出版社,-441878400000
1917,B_1956_000098,什么是苏维埃爱国主义,[苏]马秋什金　著,人民出版社,-436694400000
3001·478,B_1956_000130,论恩格斯的著作“自然辩证法”,[苏]勃·凯德洛夫　著,人民出版社,-415526400000
3002·31,B_1956_000181,工人阶级,维林斯基（М．А．Виленский） 索宁（М．Я．Сонин）　著,生活·读书·新知三联书店,-434016000000
3003·215,B_1956_000190,意大利共产党第四次全国代表会议文件选辑,,世界知识社,-431424000000
3003·256,B_1956_000194,澳大利亚共产党第十七次代表大会文件选辑,,世界知识社,-420796800000
11002·45,B_1956_000208,倍倍尔自传,,生活·读书·新知三联书店,-441878400000
469,B_1956_000217,苏联代表在联合国发言选集（第三集）,世界知识社　编辑,世界知识社,-434016000000
3003·212,B_1956_000225,走向社会主义的罗马尼亚,[苏]特卡钦科　著,世界知识社,-434016000000
3003·217,B_1956_000227,自由的阿尔巴尼亚,[苏]斯米尔诺夫　著,世界知识社,-434016000000
3001·460,B_1956_000258,苏联共产党第二十次代表大会文件汇编（下）,,人民出版社,-412934400000
3001·435,B_1956_000259,苏联共产党代表大会、代表会议和中央全会决议汇编（第三分册）,中共中央马克思 恩格斯 列宁 斯大林 著作编译局　译,人民出版社,-426153600000
